Word;SentenceID;Sense
bank;1;Synset('depository_financial_institution.n.01')
bank;2;Synset('bank.n.01')
plant;3;Synset('plant.n.01')
tree;4;Synset('tree.n.01')
plant;5;Synset('plant.n.02')
add;6;Synset('total.v.02')
add;7;Synset('add.v.01')
add;8;Synset('lend.v.01')
color;9;Synset('color.n.02')
color;10;Synset('color.n.02')
high;11;Synset('high.a.01')
high;12;Synset('high.a.01')
book;13;Synset('book.n.01')
book;14;Synset('book.n.02')
book;15;Synset('reserve.v.04')
kill;16;Synset('kill.v.06')
kill;17;Synset('kill.v.10')
call;18;Synset('call.v.03')
call;19;Synset('visit.v.03')
date;20;Synset('date.n.05')
