Word;SentenceID;POS;Text 
bank;1;n;I went to the bank to deposit my money;Synset('depository_financial_institution.n.01')
bank;2;n;The bank on the riverside was full of dead fishes;Synset('bank.n.01')
plant;3;n;The workers at the industrial plant were overworked;Synset('plant.n.01')
tree;4;n;The tree in the garden is no longer bearing flowers;Synset('tree.n.01')
plant;5;n;The plant in the garden is no longer bearing flowers;Synset('plant.n.02')
add;6;v;Add the number of people in this town to those of the neighboring town;Synset('total.v.02')
add;7;v;Add some extra plates to the dinner table;Synset('add.v.01')
add;8;v;The music added a lot to the play;Synset('lend.v.01')
color;9;n;The characters were delineated with exceptional vividness and color;Synset('color.n.02')
color;10;n;The Puritan Period was lacking in color;Synset('color.n.02')
high;11;a;The high temperature keeps on rising;Synset('high.a.01')
high;12;a;He has a high opinion of himself;Synset('high.a.01')
book;13;n;I am reading a book on economics;Synset('book.n.01')
book;14;n;He bought a book of stamps;Synset('book.n.02')
book;15;v;I still need to book my flight to Japan;Synset('reserve.v.04')
kill;16;v;The comedian was so funny, he was killing me;Synset('kill.v.06')
kill;17;v;She was killed in the collision of three cars;Synset('kill.v.10')
call;18;v;She called your cell phone four times;Synset('call.v.03')
call;19;v;I will call on him later;Synset('visit.v.03')
date;20;n;We have not heard from them to date;Synset('date.n.05')
